[2023-05-04 15:01:23,244][rospy.internal][INFO] - topic[/rosout] adding connection to [/rosout], count 0
[2023-05-04 15:01:26,255][rosout][INFO] - img_sub has been created
[2023-05-04 15:01:26,259][rospy.internal][INFO] - topic[/carla/ego_vehicle/rgb_front/image] adding connection to [http://carla2:37229/], count 0
[2023-05-04 15:01:26,259][rospy.internal][INFO] - topic[/carla/ego_vehicle/rgb_front/camera_info] adding connection to [http://carla2:37229/], count 0
[2023-05-04 15:01:32,328][rosout][INFO] - (1464, 1936, 3)
[2023-05-04 15:01:32,378][rosout][INFO] - (1464, 1936, 3)
[2023-05-04 15:01:32,427][rosout][INFO] - (1464, 1936, 3)
[2023-05-04 15:01:32,477][rosout][INFO] - (1464, 1936, 3)
[2023-05-04 15:01:32,527][rosout][INFO] - (1464, 1936, 3)
[2023-05-04 15:01:32,577][rosout][INFO] - (1464, 1936, 3)
[2023-05-04 15:01:32,627][rosout][INFO] - (1464, 1936, 3)
[2023-05-04 15:01:32,678][rosout][INFO] - (1464, 1936, 3)
[2023-05-04 15:01:32,727][rosout][INFO] - (1464, 1936, 3)
[2023-05-04 15:01:32,777][rosout][INFO] - (1464, 1936, 3)
[2023-05-04 15:01:32,827][rosout][INFO] - (1464, 1936, 3)
[2023-05-04 15:01:32,877][rosout][INFO] - (1464, 1936, 3)
[2023-05-04 15:01:32,927][rosout][INFO] - (1464, 1936, 3)
[2023-05-04 15:01:32,977][rosout][INFO] - (1464, 1936, 3)
[2023-05-04 15:01:33,029][rosout][INFO] - (1464, 1936, 3)
[2023-05-04 15:01:33,077][rosout][INFO] - (1464, 1936, 3)
[2023-05-04 15:01:33,127][rosout][INFO] - (1464, 1936, 3)
[2023-05-04 15:01:33,177][rosout][INFO] - (1464, 1936, 3)
[2023-05-04 15:01:33,227][rosout][INFO] - (1464, 1936, 3)
[2023-05-04 15:01:33,277][rosout][INFO] - (1464, 1936, 3)
[2023-05-04 15:01:33,327][rosout][INFO] - (1464, 1936, 3)
[2023-05-04 15:01:33,377][rosout][INFO] - (1464, 1936, 3)
[2023-05-04 15:01:33,427][rosout][INFO] - (1464, 1936, 3)
[2023-05-04 15:01:33,476][rosout][INFO] - (1464, 1936, 3)
[2023-05-04 15:01:33,527][rosout][INFO] - (1464, 1936, 3)
[2023-05-04 15:01:33,577][rosout][INFO] - (1464, 1936, 3)
[2023-05-04 15:01:33,626][rosout][INFO] - (1464, 1936, 3)
[2023-05-04 15:01:33,676][rosout][INFO] - (1464, 1936, 3)
[2023-05-04 15:01:33,727][rosout][INFO] - (1464, 1936, 3)
[2023-05-04 15:01:33,778][rosout][INFO] - (1464, 1936, 3)
[2023-05-04 15:01:33,826][rosout][INFO] - (1464, 1936, 3)
[2023-05-04 15:01:33,876][rosout][INFO] - (1464, 1936, 3)
[2023-05-04 15:01:33,926][rosout][INFO] - (1464, 1936, 3)
[2023-05-04 15:01:33,976][rosout][INFO] - (1464, 1936, 3)
[2023-05-04 15:01:34,027][rosout][INFO] - (1464, 1936, 3)
[2023-05-04 15:01:34,078][rosout][INFO] - (1464, 1936, 3)
[2023-05-04 15:01:34,130][rosout][INFO] - (1464, 1936, 3)
[2023-05-04 15:01:34,176][rosout][INFO] - (1464, 1936, 3)
[2023-05-04 15:01:34,226][rosout][INFO] - (1464, 1936, 3)
[2023-05-04 15:01:34,276][rosout][INFO] - (1464, 1936, 3)
[2023-05-04 15:01:34,326][rosout][INFO] - (1464, 1936, 3)
[2023-05-04 15:01:34,377][rosout][INFO] - (1464, 1936, 3)
[2023-05-04 15:01:34,427][rosout][INFO] - (1464, 1936, 3)
[2023-05-04 15:01:34,479][rosout][INFO] - (1464, 1936, 3)
[2023-05-04 15:01:34,527][rosout][INFO] - (1464, 1936, 3)
[2023-05-04 15:01:34,577][rosout][INFO] - (1464, 1936, 3)
[2023-05-04 15:01:34,627][rosout][INFO] - (1464, 1936, 3)
[2023-05-04 15:01:34,677][rosout][INFO] - (1464, 1936, 3)
[2023-05-04 15:01:34,746][rosout][INFO] - (1464, 1936, 3)
[2023-05-04 15:01:34,761][rosout][INFO] - (1464, 1936, 3)
[2023-05-04 15:01:34,796][rosout][INFO] - (1464, 1936, 3)
[2023-05-04 15:01:34,833][rosout][INFO] - (1464, 1936, 3)
[2023-05-04 15:01:34,882][rosout][INFO] - (1464, 1936, 3)
[2023-05-04 15:01:34,934][rosout][INFO] - (1464, 1936, 3)
[2023-05-04 15:01:34,982][rosout][INFO] - (1464, 1936, 3)
[2023-05-04 15:01:35,032][rosout][INFO] - (1464, 1936, 3)
[2023-05-04 15:01:35,082][rosout][INFO] - (1464, 1936, 3)
